time_s,x_0,x_1,x_2,x_3,d_0,d_1,d_2,d_3,u_0,u_1,u_2,u_3,a_0,a_1,a_2,a_3,e_0,e_1,e_2,e_3
2.999999999999999889e-02,-1.169121474586376497e+00,-6.558327821733345164e-01,-1.851228369535285356e+00,-3.545335662750709882e-01,5.373127929618471549e-02,1.839620289121709357e-02,2.414959145095494156e-02,-1.400084479188489113e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.373127929618471549e-02,1.839620289121709357e-02,2.414959145095494156e-02,-1.400084479188489113e-02
3.049999999999999933e-02,-2.373709607569680913e-02,-7.635014669876304394e-01,-2.023879698827216522e+00,-1.450405455717620695e+00,1.783137652882567023e-02,2.309946088945520962e-02,-1.439613873503187494e-02,-2.361809222173866241e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.783137652882567023e-02,2.309946088945520962e-02,-1.439613873503187494e-02,-2.361809222173866241e-02
3.099999999999999978e-02,8.498800054205564170e-01,-1.709721691360775730e-01,-1.454703014945171846e+00,-1.791296845887179634e+00,-4.029186313986175827e-02,3.717121265371291228e-02,-2.985096569429889629e-02,-1.976626098758064304e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.029186313986175827e-02,3.717121265371291228e-02,-2.985096569429889629e-02,-1.976626098758064304e-02
3.150000000000000022e-02,9.701987910581784114e-01,6.967158094881873431e-01,-2.659899978952519062e-01,-1.229768794251617781e+00,-8.958559613898584018e-02,4.528522316023028682e-02,-1.428886046609990565e-02,-1.452282410263740220e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.958559613898584018e-02,4.528522316023028682e-02,-1.428886046609990565e-02,-1.452282410263740220e-02
3.200000000000000067e-02,6.385262377929653566e-01,1.232165153903768573e+00,8.969974508484974685e-01,-3.274635761131589051e-01,-9.714586457266582986e-02,3.306705152221744992e-02,1.906851054920566044e-02,-1.826161052159297254e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.714586457266582986e-02,3.306705152221744992e-02,1.906851054920566044e-02,-1.826161052159297254e-03
3.250000000000000111e-02,5.233240342870265627e-01,1.104935520947882832e+00,1.381111195644986633e+00,1.543978982703625158e-01,-5.806021402042903928e-02,1.074430517750605760e-02,4.582431669649759259e-02,6.014313116211582322e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.806021402042903928e-02,1.074430517750605760e-02,4.582431669649759259e-02,6.014313116211582322e-03
3.300000000000000155e-02,8.952134484861333785e-01,4.498619645719657001e-01,1.114906618684413653e+00,-3.540389355142019301e-02,1.084048753761241574e-02,-3.832696187745922994e-03,4.577788293865896196e-02,1.324468564468197357e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.084048753761241574e-02,-3.832696187745922994e-03,4.577788293865896196e-02,1.324468564468197357e-02
3.350000000000000200e-02,1.285870533742530464e+00,-3.467336989252799984e-01,6.813668456302366394e-01,-4.445456770860712892e-01,7.044714341225018217e-02,1.032896681605942855e-03,2.379522978458117541e-02,2.989402157494744361e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.044714341225018217e-02,1.032896681605942855e-03,2.379522978458117541e-02,2.989402157494744361e-02
3.400000000000000244e-02,9.676429205371802622e-01,-9.735610545957329443e-01,7.496709942135881821e-01,-4.065590463836004087e-01,8.313925654272809329e-02,2.343490562859434911e-02,2.050192519560791685e-03,4.994603572842631900e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.313925654272809329e-02,2.343490562859434911e-02,2.050192519560791685e-03,4.994603572842631900e-02
3.450000000000000289e-02,-2.205696485239547755e-01,-1.376024131427704411e+00,1.399456290439976325e+00,2.543153825470558793e-01,5.405878723950920811e-02,4.622804472959905070e-02,-9.667716611704214869e-03,7.251545916492703470e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.405878723950920811e-02,4.622804472959905070e-02,-9.667716611704214869e-03,7.251545916492703470e-02
